Index,Gold
389.00019,0
414.00018,0
138.00009,0
549.00014,1
250.00014,0
336.00001000000003,0
372.00001000000003,0
291.00015,0
438.00007,0
206.00002,0
506.00014000000004,0
243.0001,1
208.00048999999999,0
265.00018,0
65.00016,0
104.00009,1
138.00027,1
238.00047999999998,0
139.00016000000002,0
362.00007999999997,0
4.0004800000000005,0
329.00011,0
209.00028,1
25.0001,0
495.00012999999996,0
24.00013,0
263.00022,0
572.00046,0
387.00028,0
459.00004,1
276.00001000000003,0
25.00004,0
496.00005,0
415.00002,0
476.00005999999996,0
546.00006,0
366.00009,0
436.00025999999997,0
72.00005,0
442.00005999999996,0
238.0006,0
575.00017,0
55.00015,0
316.00083,0
196.00003999999998,0
289.00011,0
199.00018,0
390.00012999999996,1
504.00003,0
155.00003,0
285.00007,1
349.00004,1
65.00024,0
33.00027,0
307.00004,0
81.00005,0
331.00011,0
581.00017,0
357.00117,0
162.00003,0
132.00038,0
416.00007999999997,1
387.00032000000004,1
381.00005,0
357.00157,0
485.0018,0
33.000240000000005,0
285.00014,0
23.000020000000003,0
357.00073,0
330.00002,0
357.00164,0
490.00009000000006,0
4.00026,0
583.0001,0
95.00115,0
238.00284,0
417.00005,0
239.00003999999998,0
393.00005,0
181.00005,0
26.00003,1
357.00141,0
367.00083,0
31.00017,0
159.00014,0
494.0001,0
209.00047,0
212.00007000000002,0
535.00004,0
572.00035,0
486.00004,0
385.0001,0
262.00122000000005,0
394.00006,0
489.00030999999996,0
139.0001,0
248.00015,0
489.00057999999996,0
84.00007,0
490.00002,0
277.00022,0
504.00007,0
33.00007,0
137.00032,0
216.00007000000002,0
231.00021,0
33.0003,0
20.00013,0
68.00015,0
485.00187,0
261.00045,0
295.00052,0
266.00016,0
303.00015,0
510.00065,0
391.00012000000004,0
373.00001000000003,0
359.00012999999996,0
536.00001,0
267.00006,0
249.00021,0
433.00010999999995,0
83.00004,0
542.00012,0
237.00017000000003,0
42.000029999999995,0
496.00022,0
24.00015,0
282.00002,0
210.00014,0
65.00048000000001,0
124.00003999999998,0
467.0005,0
20.00011,0
316.00028,0
484.00012999999996,0
3.00014,1
579.00009,0
95.00114,0
186.00014,0
195.00006000000002,0
555.00033,0
342.00014,0
506.0002,0
266.00003,0
130.00018,0
15.000060000000001,0
238.00242000000003,0
301.00016,0
31.00031,0
383.00007999999997,0
187.00018,1
472.00002,0
160.00003,0
391.00003,0
95.00029,1
301.00022,0
477.00015,1
110.00008000000001,0
352.00023999999996,0
138.00013,0
357.00217000000004,0
403.00012000000004,0
572.00041,0
18.0002,0
445.00003,0
295.00067,0
287.00023,0
352.00029,0
357.00137,0
71.00004,0
419.00007999999997,0
144.00011,0
4.00023,0
248.00036,1
475.00080999999994,0
508.00023,0
229.00022,0
234.00005,0
198.00011999999998,0
4.00047,0
50.000009999999996,1
516.00012,0
310.00004,0
370.00015,0
82.00007,1
161.00001,0
394.00001000000003,0
380.00015,0
112.00018,0
496.00023,0
235.00011,0
194.00003999999998,1
419.00009,0
238.00221000000002,0
127.00003000000001,0
387.00036,0
104.00003000000001,0
95.00094,0
162.00011,0
273.00018,0
490.00022,0
420.00024,0
132.00064,0
477.00045,0
451.00021,0
317.00011,0
399.00043999999997,0
75.00034000000001,0
253.00012999999998,0
38.00051,0
404.00002,0
545.0002099999999,0
